,header,sub_header,text_content,author
0,“De får polisskydd för att hota RFSL”,,"
Nazistgruppen Nordiska motståndsrörelsen har precis fått tillstånd att hålla möte på Södertorg i Almedalen. Valet av plats? Ett stenkast från det hus där RFSL sedan flera år håller till under Almedalsveckan. Därför har nu RFSL Ungdom tvingats ställa in alla aktiviteter i Almedalen. 
– De får polisbeskydd för att stå där och hota oss, säger Sandra Ehne, förbundsordförande för RFSL.
Nazisterna är ett direkt hot mot organisationen som kämpar för hbtq-frågor och mänskliga rättigheter. Efter beskedet kräver nu Sandra Ehne  att polisen garanterar säkerheten.
– Vi är inte oroliga för säkerhetsläget, men vi har full förståelse för att RFSL är det. Vi för kontinuerliga samtal för att de ska kunna känna sig trygga, säger Elisabeth Anestad, biträdande kommenderingschef på polisen.
Uppenbarligen är det inte nog.
– Unga hbtq-personer är särskilt utsatta, RFSL Ungdom väljer därför att ställa in sin medverkan, säger Sandra Ehne.
“NMR-aktivist jagade sällskap med kniv”, “Ökad hotbild från Nordiska motståndsrörelsen mot Pride”, “NMR kartlagt – var fjärde dömd för våldsbrott”. Rubrikerna om Nordiska Motståndsrörelsen understryker den ständiga kulissen av våld där den nazistiska organisationen drar fram. 
De liknas ofta vid en sekt, med stränga uppförandekoder och strikt hierarki. “Vit revolution utan pardon”, “Krossa homolobbyn”, skanderar de där de drar fram. Att polisen nu gett nytt tillstånd till NMR i Almedalen väcker starka reaktioner. 
Sören Juvas, förbundsordförande på HBT-Socialdemokraterna, ifrågasätter att NMR överhuvudtaget får demonstrera.
– Det är en ren och skär provokation. Det är också ett hot, en terror där man försöker skapa rädsla, säger han.
Han står i folkvimlet, på vad som kallas en demokratifestival, men med en vaksamhet i blicken. Det är inte säkert här. Inte längre.
– Jag tycker inte att polisen överhuvudtaget ska ge tillstånd till den här gruppen. Jag förstår inte hur man tänker när man låter en våldsbejakande, organiserad grupp få tillstånd att demonstrera på en mötesplats som Almedalen. Människor ska inte behöva vara rädda. Det är ett hot mot demokratin, säger han.
Vi skulle inte låta IS dra fram i Almedalen och ropa ut budskap om grupper i samhället som ska utplånas. Så vad gör Nordiska motståndsrörelsen här? “De har avsikt att begå brott för att ändra samhällsordningen” bekräftar Säkerhetspolisen till Sveriges Radio.
Hoten och rädslan gruppen sprider i Almedalen blir ett nästan övertydligt exempel på varför de nuvarande reglerna inte räcker. Övriga partier bör lyssna på Moderaternas förslag om att utöka terrorlagstiftningen till att även omfatta inhemska terrororganisationer som Nordiska motståndsrörelsen.
– Många blir rädda. Jag tycker inte att NMR ska ha möjligheten att skrämma människor från att delta i demokratiska samtal, säger Sören Juvas. ",PERNILLA ERICSON
1,Du har rätt att få komma,,"
Idag är det Internationella Orgasmdagen, och det är inget snack om att kvinnors rätt att komma är politik. Kvinnors njutning har långsamt tvingats upp på agendan, i takt med att maktfördelningen i samhället blivit mer jämlik.
År 1971 hade 41 procent av de 70-åriga kvinnorna aldrig upplevt en orgasm. Idag har den siffran krympt till 6 procent. Alla satsningar på forskning, upplysning, frigörelse och kvinnokamp för sexualiteten har gjort skillnad för kvinnors möjlighet till fyrverkerier av njutningspirr.
Men klimaxfrågan är fortfarande inte jämställd, visar studier. Varannan kvinna har fejkat orgasm. I heterosexuella relationer får 95 procent av männen orgasm nästan varje gång de har sex, jämfört med 65 procent av kvinnorna. Kvinnor är bättre på att få andra kvinnor att komma. Bland homosexuella kvinnor är motsvarande siffra 86 procent. 
Sexlivet kan låta som en privat fråga, men det gör skillnad för samhället i stort, slår sexinspiratören Marika Smith fast. Hon föreläser och håller kurser, och ser vilka frågor många par brottas med.
– Studier visar att om man är nöjd med sitt sexliv, så påverkar det den övriga hälsan positivt. Där finns det massor av pengar att spara.
Möjligheten till bra sex ser olika ut i landet – på vissa håll har man kommit längre genom att inkludera sexologi. 
– En sexolog kan ge råd vid lustproblem, när det kommer till att bearbeta övergrepp, få hjälp med fysiska prestationsproblem och massor av annat, och det i sig skulle spara in pengar på psykvården. Jag tror till och med att självmordsstatistiken skulle minska om man satsade mer i den här frågan, säger Marika Smith.
Tillgången till sexologisk kompetens får inte bli en klassfråga. Den rödgrönt styrda staden Malmö är ett exempel på där man går i framkant.
– I Malmö landsting ingår sexologi i den offentliga vården. Så du kan boka det till samma taxa som ett vanligt läkarbesök. Det ska ju inte vara en liten klick som har råd med bra sex, säger Marika Smith. 
– Att satsa på sexologi inom landstingen sänder ut en signal att det här är viktigt. 
Sexualiteten påverkar alla människor, oavsett läggning. På så sätt gör politik skillnad ända in i sovrummet. Frågan är bara – vågar politikerna satsa?",PERNILLA ERICSON
2,Plocka fram din inre tant i valet,,"
Väsksmockan hänger för evigt i luften, i statyn av ”tanten” till attack mot nazisten. Den är hett omdiskuterad, statyn i Alingsås efter bilden av damen som tar väskan till vapen mot skinnskallen i Växjö 1985.Betydligt fredligare var helgens tantväskprotest mot NMR i Ludvika, men visst fanns inspiration från den klassiska bilden. Under lördagen valde två pensionerade damer att markera sitt missnöje mot nazisterna, rapporterade Dagens Nyheter. Gundi Almaas och Katarina Nyberg har båda varit goda män för ensamkommande flyktingbarn, och duon har beställt 100 dekaler i rött och regnbågsfärger, med texten “Rösta mer mänskligt”. Dessa har de även placerat på sina “tantväskor”. Så vad är en sådan?– En tantväska är en ful handväska med två handtag, gärna brun och stor och lite omodern. Om du minns bilden som gick runt för flera år sedan med en dam som dänger sin tantväska i huvudet på en nasse. Den bilden har jag aldrig glömt och vi ville göra som denna modiga tant, säger Gundi Almaas till DN.
Igår föll domen mot nazisten i Sundsvall som kartlade journalister och som åtalats för bland annat för förberedelse till mord och grovt vapenbrott. Militanta nazisters framfart i landet – och den högkoncentrerade terrorn mot valarbetare på platser som Ludvika, Kungälv och Boden – har skakat valrörelsen.Men samtidigt glimrar bilden av det beslutsamma, fredliga motståndet, förkroppsligat av tanten. Vi borde alla inspireras av tanterna under det här valet. Det är svårt att tänka sig något mer rakryggat än 83-åriga Ingegerd som med sin kundvagn plöjde genom nazisterna från NMR i Göteborg. Ingegerds mål var Ica Maxi – och ingen högerextrem marsch skulle få stå i vägen.– Jag är förbannad. Varför ska de komma hit och förstöra? Kostar inte detta? Jag kör rakt på dem. Rakt på dem, sa hon i ett klipp till Dagens ETC.På kuppen blev hon något av en folkhjälte.
Hyllad blev även Anette, som i Almedalen ställde sig bland nazisterna för att på ett fredligt sätt markera mot NMR:s försök att sabotera Annie Lööfs tal.– Herregud, jag är ju en svag, värnlös gammal tant. Men det är klart, de kan ge sig på mig, fast då säger det mer om dem än om mig, sa hon till Aftonbladet.De modiga tanterna påminner om tre saker: vi som står upp mot rasism och nazism är många, många fler än de som söndrar och hatar. En fredlig protest kan vara den starkaste motkraften. Och en svag tant med en stor väska är oändligt mycket modigare än en militant nazist.",PERNILLA ERICSON
3,Män kan inte längre räkna med tystnad,Rättegången mot Kulturprofilen inleds,"
Kommer du ihåg den tiden när män kom undan med nästan vad som helst, om de bara var mäktiga och inflytelserika nog? När en i kulturkretsar mäktig man fick förses med barnvakt/övervakare på en högtidssammankomst för att inte förgripa sig på kungligheter, hellre än att omgivningen erkände problemet? Ja, du minns det, för det var alldeles nyss. Sedan kom Metoo, och därmed rämnade tystnadskulturen från kant till kant. Vi ser en tydlig ökning i anmälda sexbrott efter Metoo.
I dag inleds rättegången mot den så kallade Kulturprofilen, Jean-Claude Arnault, gift med en ledamot i Svenska Akademien, och ledare av den konstnärliga klubb som internt beskrivs som “centrum för svensk finkultur”. Åtalet mot mannen som kallar sig själv ""Akademiens nittonde medlem"" gäller två fall av våldtäkt. Och det är lätt att glömma, i alla rubriker om vänskapskorruption, Nobelpris-läckor och maktstrider – detta är kärnan i Svenska Akademiens kollaps. Det som bara har fått pågå, trots att så många sett och hört. Det handlar om en man som beskrivs ha utnyttjat sitt överläge, och som enligt uppgift hotat med vedergällning för att få utsatta att hålla tyst. 
Enligt åtalet ska de misstänkta våldtäkterna ha inträffat 2011. Vid det första tillfället ska kvinnan ha tvingats av Kulturprofilen att utföra oralsex på honom. Det beskrivs hur han ska ha tagit ett ""kraftigt tag"" om hennes nacke. Hon ska även ha blivit våldtagen vaginalt, när hon försatts i ett hjälplöst tillstånd. Två månader senare misstänks han ha våldtagit kvinnan när hon sov. Båda de misstänkta våldtäkterna ägde enligt åtalet rum i Kulturprofilens övernattningslägenhet i Stockholm. Kulturprofilen nekar till alla anklagelser.
Våldtäkt är ett svårutrett brott. Det handlar om att ord står mot ord om vad som skedde i rummet. För det är oftast ett rum, det sker oftast inomhus, och den utsatta är oftast bekant med förövaren. Det bidrar till mörkertalet i anmälningar. Det bidrar också till att många utsatta inte gör allting “rätt”. Inte rusar till akuten för en undersökning, tvekar och väntar med att anmäla. I filmer kan den som utsätts för ett övergrepp skrika och slåss. I verkligheten är det vanligt att utsatta paralyseras – 7 av 10 våldtäktsoffer beskrev en ”frysreaktion” i Södersjukhusets och Karolinska Institutets studie – och förövaren behöver inte använda särskilt mycket våld. 
Bilden av hur det “perfekta” offret för en våldtäkt beter sig, den hänger kvar. Den kommer att återkomma även under den här rättegången. Kvinnan kommer att ifrågasättas för att hon fanns kvar i Kulturprofilens nätverk.
Makt spelar roll. Före Metoo kunde maktens män utnyttja skillnaden i vem man vågar anmäla. Oavsett hur det går i rättegången mot Kulturprofilen, så är det en gräns som för evigt har korsats. Svenska skådespelerskor satte ord på det i uppropet #Tystnadtagning:
”Vi kommer att lägga skammen där den hör hemma – hos förövaren och dem som skyddar honom. Vi vet vilka ni är.”",PERNILLA ERICSON
4,Ett år efter Metoo är kvinnor fortfarande otrygga,Utsattheten i osäkra anställningar utnyttjas,"
För ett år krusades en våg, som växte till en tsunami. Det blev till en rörelse som skakat hela världen. Den 5:e oktober 2017 publicerade New York Times anklagelser mot filmmogulen Harvey Weinstein om sexuella övergrepp och trakasserier. Det var ett väl underbyggt avslöjande om en man som utnyttjat sin maktställning, i skydd av inflytelserika vänner. New York Times blottade en extrem tystnadskultur. Så många visste om Weinsteins förehavanden, att det letat sig in i anföranden på prisgalor och blivit till hintar i populära serier. När tystnaden till slut bröts var skrällen öronbedövande.Den 15:e oktober skrev skådespelaren Alyssa Milano på Twitter: ”Om alla kvinnor som har blivit sexuellt trakasserade eller överfallna skrev ‘Me too’ i sin statusrad, kanske folk skulle få en uppfattning av vidden av problemet”. Och som hon fick svar.
Vågen svepte fram och fick fäste. Gjorde avtryck i länder som Norge, Tyskland, Indien, Portugal, Japan, Chile, Sydafrika. I USA har såväl kongressledamöter som mediechefer tvingats avgå. Nya lagar har stiftats. Ett av de länder där Metoo fick störst genomslag är Sverige. Upprop efter upprop visade på hur utbrett problemet är med sexuella trakasserier, sexism och övergrepp i alla delar av arbetslivet och i alla samhällsskikt. Sjuksköterskor, sjömän, poliser, skådespelare. Locken lyftes av.
Det skavde, anklagelser flög, människor tvingades ut, tvingades ta ställning, företag och organisationer ruskades om. En rad fackförbund tog fram nya åtgärder mot sexuella trakasserier och vi fick en ny sexualbrottslagstiftning. I dagarna kom domen i Stockholms tingsrätt mot Jean-Claude Arnault, gift med en ledamot i Svenska Akademien och konstnärlig ledare för en central scen inom kulturen. Mycket har vädrats ut inom Akademien, där finns larm om vänskapskorruption och Nobelpris-läckor. Men kärnan är denna: åratal av övergrepp och trakasserier som tystats ner. Det är grunden till varför det inte delas ut något Nobelpris i litteratur i år.
Fallet med den så kallade Kulturprofilen påminner om något centralt: makt spelar roll när det kommer till trakasserier och övergrepp. Kvinnor har mindre makt än män i samhället, det gäller så väl inflytande som ekonomiskt. Det gäller inte bara toppositioner i samhället, utan också om hierarkier på vanliga arbetsplatser. I veckan kom en rapport från Arbetsmiljöverket som påminner om det. Otrygga arbetsförhållanden för visstidsanställda kan påverka att den anställda också upplever otrygghet i sin arbetsmiljö. Rapporten baseras på frågor som besvarats av 8 700 arbetstagare. Bland de svarande kvinnorna uppgav fler än dubbelt så många i gruppen med tidsbegränsad anställning att de blivit utsatta för sexuella trakasserier på jobbet, jämfört med kvinnor som hade en tillsvidareanställning.Detta är viktigt att komma ihåg: de som sitter i toppen av ett företag löper inte samma risk att drabbas av sexuella trakasserier som de som har minst inflytande. Timanställda, vikarier. Den som trakasserar utnyttjar det övertaget. I maktstrukturer ligger grunden till tystnaden. För den utsatta står försörjningen på spel, rädslan att ses som obekväm. Ju större maktskillnad, desto svårare blir det. Ser du din förövare stå och röka med chefen, så är det oändligt mycket svårare att knacka chefen på axeln och rapportera vad som pågår. Det gäller så väl på bygget som i filmstudion.
Det är ett arbetsmiljöproblem som även påverkar företagets lönsamhet. Den som står på helspänn, med axlarna uppdragna och vaksam blick mot omgivningen, kan knappast prestera fullt ut. Varje företag måste förebygga problemet. Hur skapar man en arbetskultur där människor vågar lyfta interna problem? Rätten till tillsvidareanställning är en politisk åtgärd som gör skillnad. Ju fler otrygga anställningar, desto större möjligheter att utnyttja ett övertag.
Fallet som blev startskottet för Metoo, den sexbrottsanklagade filmproducenten Harvey Weinstein, är uppe i rätten just nu. Åtalet gäller våldtäkt av första och tredje graden, samt brottslig sexuell handling av första graden, enligt amerikansk lagstiftning. Döms Weinstein så kan han få tillbringa resten av sitt liv i fängelse. I dagsläget har nära 100 kvinnor anklagat honom för trakasserier och övergrepp. Det är röster som borde ha hörts mycket tidigare. Slutsatsen är att grogrunden för trakasserier måste röjas undan.Efterspelet av Metoo handlar om att göra det förbannat svårt att gå över gränsen.",PERNILLA ERICSON
5,Tafsande lärare måste få sparken,50-årig lärare ”längtar” efter 15-årig elev,"
En lärare får en varning för att ha haft en olämplig relation med en 15-årig elev, rapporterar P4 Stockholm under onsdagen. Läraren, som är i 50-årsåldern, har skrivit till eleven och uttryckt sin längtan. Han har också bjudit in till möten både under och efter skoltid och rört vid eleven “på olämpliga sätt”, enligt P4. Mannen får ändå jobba kvar på skolan i södra Stockholm. Ärendet har anmälts till Skolinspektionen, men kan inte utredas vidare. Anledningen: läraren saknar lärarlegitimation. 
Det här har självklart fått föräldrar till elever på skolan att reagera starkt.
– En varning räcker inte, säger en förälder.
– Vi vill att han sparkas.
För det stannar inte där. Läraren erkänner även att han vid två tidigare tillfällen haft känslor för andra elever på skolan. Gissningsvis är det många läsare som här tycker att scenariot känns aningen bekant. Jag gör det. Vi är för många som haft en lärare som hälsat på i omklädningsrummet efter gympan. Vi är för många som haft en lärare som stått för nära och kommit med smetiga kommentarer. Som om inte skolmiljön redan var full av falluckor till osäkerhet och obehag. 
Skåphallen i min högstadieskola var full av tafsande händer, en erfarenhet jag delar med så många andra. I Metoo-uppropen #tystiklassen och #räckupphanden berättade drygt 9 000 skolelever om upplevelser av sexuella trakasserier och övergrepp. Det är skolans otäcka facit. Var femte elev drabbas av sexuella övergrepp och flickor är mest utsatta, visar en undersökning med 6 000 gymnasieelever.
Läraren måste i det läget vara en trygg klippa, någon du kan prata med. Inte någon som utnyttjar en makt- och förtroendeställning. De elever som har störst behov av tröst och trygghet kommer också vara mest sårbara. Det är exempelvis skrämmande vanligt att gymnasielärare har sex med sina elever, visar SvD:s undersökning. 
Vi kan komma åt problemet på flera sätt. Storsatsningar krävs på behöriga lärare och lärarassistenter. Man bör på kommunal såväl som skolnivå oftare genomföra undersökningar som kollar av elevernas trygghet i hela skolmiljön. När det kommer till ”relationer” mellan lärare och elev – med det uppenbara inflytande som läraren har, inte minst makten att avgöra en framtid – kan beroendeställning aldrig uteslutas. Om lagstiftningen inte kommer åt problemet så måste vi ändra den. Det handlar i grunden om elevernas trygghet. Det är självklart att lärare som går över gränsen ska straffas – och få sparken. ",PERNILLA ERICSON
6,Kvinnorna välter Donald Trump,Mellanårsvalet svidande facit för presidenten,"
“Det är så här det känns att vinna. Kom ihåg den känslan”, jublade talmannen Nancy Pelosi, när nu Demokraterna för första gången på åtta år tar makten i representanthuset.För president Donald Trump är resultatet av mellanårsvalet en prestigeförlust, så väl som ett växande orosmoln. USA:s ekonomi är stark, trots det tappar Republikanerna representanthuset. Det i sig är en skräll. Vad är det då som har ändrats? En betydande förändring i väljarstödet märks i gruppen vita kvinnor i förorterna. 2016 röstade en stor andel av dem på Donald Trump. Nu har de ångrat sig. Bakgrunden till den svängningen kan finnas i Donald Trumps agerande de senaste månaderna.
Det handlar om utnämningen till högsta domstolen. Övergreppsanklagade domaren Brett Kavanaugh, och psykologiprofessor Christine Blasey Ford, som till slut berättade om vad hon utsatts för. Ett vittnesmål som till och med betydande republikaner bedömde som trovärdigt. USA stannade upp när de bägge parterna fick säga sitt.
Perioden efteråt var en känslig balansgång, där Donald Trump till en början visade återhållsamhet, men till slut föll. Inför stor publik och ett samlat pressuppbåd hånade han Christine Blasey Ford. Kanske skavde den bilden mest av allt. En president, världens mäktigaste man, som skrattar åt en kvinna som vågar berätta om vad hon blivit utsatt för. Som ett otäckt eko av det Blasey Ford vittnat om hände i det där rummet.“Han låg ovanpå mig och de skrattade åt mig.”Det var också kvinnor som avgjorde mellanårsvalet. Preliminära siffror anger att 52 procent av rösterna kom från kvinnor. För första gången ser det också ut att bli över 100 kvinnor i representanthuset, rapporterar CNN.
Hotet om riksrätt rycker nu närmare för Donald Trump. Rysslandsutredningen och anklagelser om brott mot kampanjlagar blir allt mer besvärande för presidenten. Maktskiftet i representanthuset sammanfaller också med att korruptionsanklagade ryske oligarken Dmitry Rybolovlev har tagits in för förhör i Monaco. Miljardären köpte Trumps hus i Florida till extremt överpris, och följde Trumps valturné i spåren. Det kan bli än mer bränsle för åklagare Robert Mueller.
Samtidigt stärker Republikanerna makten i senaten, och där skulle det krävas två tredjedels majoritet för att fälla Trump. Än så länge har han Republikanernas stöd, men marken skakar under presidenten.Utfallet i mellanårsvalet är en viktig påminnelse: de kvinnor han hånar och trycker till, har också makten att välta honom.",PERNILLA ERICSON
7,Corazza Bildt straffas för att hon inte är man,Kvinnor i politiken smäller i glastaket,"
Anna Maria Corazza Bildt petas från Moderaternas lista inför EU-valet. Detta trots att hon är den kvinna som dragit in flest personkryss de senaste EU-valen. Men inte ens väljarnas vilja fick M att placera Corazza Bildt på en utökad lista. Hon skulle bort.
Ledet av viktiga kvinnliga profiler som lämnar politiken de senaste åren ringlar allt längre. Mona Sahlin, Rossana Dinamarca, Anna Kinberg Batra, Åsa Romson, Birgitta Ohlsson … Det borde säga oss något.
Just nu turnerar komikern Mia Skäringer Lázár för fulla hus i Sverige med sin föreställning ”Avig Maria – No more fucks to give”. Programförklaringen: ”Männen har pratat sedan dinosaurierna dog ut, det här är mina två timmar.” Föreställningarna i Globen och Scandinavium sålde slut på åtta minuter. Det är en storslagen succé, som ytterst få komiker lyckas med. Men publiken består främst av kvinnor, och det är synd, av en enda anledning. Bänkraderna borde vara fulla av män, för det är framför allt de som behöver höra Mias humorpaketerade budskap. I ett inslag läser Mia Skäringer Lázár högt ur Mikael Persbrandts, Tommy Berggrens och Lars Noréns självbiografier, män som tillhör den svenska kultureliten och skördar enorma framgångar. 
Mia vänder på perspektivet: om hon hade knarkat, umgåtts med kriminella, storsupit, köpt sex – och försvarat sexköpen, varit en frånvarande morsa och pullat till nätporr tillsammans med sin regissör, hade hon då blivit älskad av svenska folket? Fått prestigeroller och haft en lång och livskraftig karriär? 
Det kan inte åskådliggöras tydligare än så, för vi vet alla vad svaret är. Det råder helt olika måttstockar för kvinnor och män, inom kulturen såväl som i politiken. Det finns så många trampminor för kvinnor. Var inte för mycket, inte för lite, inte för färgstark, hitta rätt röstläge, var mineralpudrad, var helst som en man men samtidigt absolut inte. Bilden av makten utgår från en man.
När Miljöpartiet 2016 gick igenom en jättekris med sjunkande opinionssiffror var det Åsa Romson som fick avgå som språkrör, medan Gustav Fridolin fick sitta kvar.
Dåvarande partiledaren Anna Kinberg Batra öppnade dörren för samtal med Sverigedemokraterna, vilket ledde till ett jätteras i stödet för Moderaterna. Öppningen var sjumilakliv ifrån den mer liberala framtoning som Fredrik Reinfeldt framgångsrikt stått för. Efter det kunde hon inte gör något rätt. Men med sin 3-2-1-lösning för vägen till regeringsmakten har nu Ulf Kristersson gjort samma sak. Öppnat dörren för Sverigedemokraterna, som kräver betydande inflytande för att släppa fram hans Alliansregering. Men Ulf Kristersson sitter kvar.
Anna Maria Corazza Bildt tog för mycket plats. Hon måste bort.
Glastaket som blockerar den högsta makten handlar mycket om hur oerhört olika män och kvinnor bedöms. Det är först när vi på allvar erkänner det, som vi kan göra något åt det.",PERNILLA ERICSON
8,Bara en bojkott välter gubbväldet,Svenska Akademiens skitiga byk ligger kvar,"
Det är ett rejält bortfall på Svenska Akademiens högtidssammankomst i år. Författaren Agneta Pleijel väljer, precis som Nobelstiftelsens vd Lars Heikensten och ärkebiskopen Antje Jackelén, att avstå från att medverka. 
Stora delar av kungafamiljen närvarar inte: prins Carl Philip, prinsessan Sofia, prinsessan Madeleine och Chris O’Neill. Från Hovets sida är man försiktig i formuleringarna kring varför så många uteblir. “Självklart finns det olika anledningar till varför inte alla är det”, säger Hovets informationschef till Aftonbladet.
Författaren Agneta Pleijel var inte lika otydlig.
– Jag bojkottar den oerhört avsmakliga personstrid som har blottats inom Akademien. Det är ett ställningstagande mot hur man behandlat varandra och den arrogans som vissa ledamöter visat, säger hon till Kulturnyheterna.Ärkebiskopen slår fast att hon ""inte kan uttrycka sin solidaritet genom att delta"".För vad finns det att vara solidarisk med? En kulturinstitution som blottat en skrämmande kvinnosyn, skyddat förövare och uppvisat en pinsam brist på handlingskraft. 
Det talas om maktspel. Men allt kan ändå kokas ner till följande: ledamoten Katarina Frostensons make Jean-Claude Arnault är dömd för våldtäkt i två instanser, hovrätten höjde nu senast straffet till två och ett halvt års fängelse. 
Man har slagit dövörat till för de som larmat om övergrepp, i över 20 års tid. ”Brevets innehåll framstod inte som viktigt”, sa dåvarande ständige sekreteraren Sture Allén om konstnären Anna-Karin Bylunds vittnesmål 1996. Även praktikanter har skrivit till Sture Allén efter att ha utsatts för en “arbetsgivare som tafsade” på Forum. AF Kultur tvingades införa ett praktikantstopp, vilket framkom i dokumentären “Det slutna sällskapet”. 
Pengarna till Jean-Claude Arnault har fortsatt att strömma in från Akademien, dels genom ett årligt stöd till Forum, dels genom ett arvode för att sköta institutionens Parislägenhet. Där skedde en av våldtäkterna som Arnault nu är dömd för. Och här är vi nu.
Stolar står tomma på högtidssammankomsten. De som självklart borde finnas i rummet väljer att bojkotta. Och ledamoten Horace Engdahl, som spekulerar i om män passar bättre i Svenska Akademien, ser det som “sin plikt” att sitta kvar till sin död.
En särskild bojkott skulle nog kunna ändra på det.Om nästa Nobelpristagare i litteratur väljer att avstå priset – med hänvisning till Svenska Akademiens fulspel och tolerans för övergrepp – så skulle det förmodligen få kungen att till slut peka med spiran. 
Flitigt vinsttippade författaren Joyce Carol Oates skrev på Twitter “Jag hoppas att Metoo-rörelsen ska ge tröst åt de kvinnor som hänsynslöst ställts vid skampålen i pressen för att ha vittnat mot män som kränkt och utnyttjat dem”. Skulle hon verkligen vilja ta emot Nobelpriset i litteratur med Horace Engdahls nådiga nick? Tveksamt.En sak vet vi. I sin nuvarande form kan inte Svenska Akademien skaka av sig sin skitiga historia.",PERNILLA ERICSON
9,Löfven måste gå på slak lina,Sjöstedts krav går att möta,"
Nu krävs det diplomati. Vi är nära en regeringslösning, och det inser talmannen.– Jag ger partierna 48 timmar att lösa de här problemen, meddelade Andreas Norlén på måndagens pressträff, där han förlängde tidsfristen.Problemet är “anti-Vänsterpartiet-klausulen”, som svart på vitt utestängde det parti som måste tolerera S-MP-C-L-samarbetet. Ett idiotiskt, strategiskt misstag, som därmed i stort sett likställde Vänsterpartiet med Sverigedemokraterna.
Det var en klart upprörd Jonas Sjöstedt som framträdde på presskonferensen, och använde uttryck som “Orimligt”, “Helt oacceptabelt” och – framför allt – “Vi kräver respekt”. Partiledaren slog fast att V kommer att opponera mot politiken i överenskommelsen, krävde att genomförda jämlikhetsreformer ska hedras och framför allt garantier på att V inte utestängs från samtal och utskottssamarbeten framåt. Kort och gott: Vänsterpartiet kan inte skriva under sin egen dödsdom. 
Stefan Löfven måste nu balansera på slak lina. Han måste dels försäkra Vänsterpartiet att de inte blockeras från politiskt inflytande, men också göra det utan att förlora sina nya borgerliga samarbetspartners, framför allt de djupt splittrade Liberalerna.“Stefan Löfven måste säkra stöd för sin kandidatur”, som talmannen uttryckte det.Men det är ingen omöjlig uppgift. Det har talats mycket om eftergifter, och Sjöstedt krävde varken att budgetsamarbetet skulle upphöra eller att texten skulle omformuleras. Han behöver muntliga, tydliga garantier från Stefan Löfven på att samarbeten utöver överenskommelsen är möjliga. Moderater, kristdemokrater och sverigedemokrater som hållit tummarna i väntan på Sjöstedts besked får fortsätta bita på naglarna.De närmsta “timmarna och dagarna” kommer att användas till att försöka hitta ett utgångsläge som Vänsterpartiet kan tolerera, enligt Sjöstedt. Och varje timme kommer att räknas.Talmannen väljer att vara lyhörd för det.
De senaste mötena med partiledarna har säkert varit färgstarka. Däribland en arg Kristersson, en bitter Busch Thor, en belåten Åkesson med ett “konservativt block” inom räckhåll. Att talmannen ger en tidsfrist lär göra de förstnämnda djupt besvikna.På onsdag sker en ny talmansrunda, och på fredag röstar riksdagen om ny statsminister.Fyra månaders dödläge kan vara över.Att Jonas Sjöstedt ändå gav en så pass stor öppning för Löfvens mittenlösning kan också handla om minnet av valresultatet 1998. Då nådde Vänsterpartiet 12 procent och närapå fördubblade väljarstödet, just efter ett kritiserat budgetsamarbete mellan Socialdemokraterna och Centerpartiet. Att vara en stark röst för vänsterpolitik i opinion kan självklart vara gynnsamt. Men inte till vilket pris som helst. Så Löfven måste balansera försiktigt.",PERNILLA ERICSON
